Category,Category | Sub-Category,City,Country,Customer ID,Customer Name,Order Date,Order ID,Period,Postal Code,Product ID,Product Name,Region,Row ID,Segment,Selection,Ship Date,Ship Mode,State,Sub-Category,Type Of Area,Costs,Discount,Profit,Profitable or not?,Quantity,S C P,Sales
Furniture,Bookcases,Henderson,United States,CG-12520,Claire Gute,2020-01-26,CA-2016-152156,0,42420,FUR-BO-10001798,Bush Somerset Collection Bookcase,South,1,Consumer,SOUTH,2024-01-28,Second Class,Kentucky,Bookcases,,220.0464,0.0,41.9136,Yes,2,261.96,261.96
Furniture,Chairs,Henderson,United States,CG-12520,Claire Gute,2020-01-27,CA-2016-152156,0,42420,FUR-CH-10000454,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",South,2,Consumer,SOUTH,2024-01-28,Second Class,Kentucky,Chairs,,512.358,0.0,219.582,Yes,3,731.94,731.94
Office Supplies,Labels,Los Angeles,United States,DV-13045,Darrin Van Huff,2020-01-27,CA-2016-138688,0,90036,OFF-LA-10000240,Self-Adhesive Address Labels for Typewriters by Universal,West,3,Corporate,WEST,2024-01-27,Second Class,California,Labels,,7.7486,0.0,6.8714,Yes,2,14.62,14.62
Furniture,Tables,Fort Lauderdale,United States,SO-20335,Sean O'Donnell,2020-01-27,US-2015-108966,0,33311,FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,South,4,Consumer,SOUTH,2024-01-27,Standard Class,Florida,Tables,,1340.6085,0.45,-383.031,No,5,957.5775,957.5775
Office Supplies,Storage,Fort Lauderdale,United States,SO-20335,Sean O'Donnell,2020-01-28,US-2015-108966,0,33311,OFF-ST-10000760,Eldon Fold 'N Roll Cart System,South,5,Consumer,SOUTH,2024-01-27,Standard Class,Florida,Storage,,19.8516,0.2,2.5164,Yes,2,22.368,22.368
Furniture,Furnishings,Los Angeles,United States,BH-11710,Brosina Hoffman,2020-01-29,CA-2014-115812,0,90032,FUR-FU-10001487,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",West,6,Consumer,WEST,2024-01-27,Standard Class,California,Furnishings,,34.6906,0.0,14.1694,Yes,7,48.86,48.86
Office Supplies,Art,Los Angeles,United States,BH-11710,Brosina Hoffman,2020-01-29,CA-2014-115812,0,90032,OFF-AR-10002833,Newell 322,West,7,Consumer,WEST,2024-01-27,Standard Class,California,Art,,5.3144,0.0,1.9656,Yes,4,7.28,7.28
Technology,Phones,Los Angeles,United States,BH-11710,Brosina Hoffman,2020-01-29,CA-2014-115812,0,90032,TEC-PH-10002275,Mitel 5320 IP Phone VoIP phone,West,8,Consumer,WEST,2024-01-26,Standard Class,California,Phones,,816.4368,0.2,90.7152,Yes,6,907.152,907.152
Office Supplies,Binders,Los Angeles,United States,BH-11710,Brosina Hoffman,2020-01-29,CA-2014-115812,0,90032,OFF-BI-10003910,DXL Angle-View Binders with Locking Rings by Samsill,West,9,Consumer,WEST,2024-01-26,Standard Class,California,Binders,,12.7215,0.2,5.7825,Yes,3,18.504,18.504
Office Supplies,Appliances,Los Angeles,United States,BH-11710,Brosina Hoffman,2020-01-29,CA-2014-115812,0,90032,OFF-AP-10002892,Belkin F5C206VTEL 6 Outlet Surge,West,10,Consumer,WEST,2024-01-26,Standard Class,California,Appliances,,80.43,0.0,34.47,Yes,5,114.9,
Furniture,Tables,Los Angeles,United States,BH-11710,Brosina Hoffman,2020-01-29,CA-2014-115812,0,90032,FUR-TA-10001539,Chromcraft Rectangular Conference Tables,West,11,Consumer,WEST,2024-01-26,Standard Class,California,Tables,,1620.8748,0.2,85.3092,Yes,9,1706.184,1706.184
Technology,Phones,Los Angeles,United States,BH-11710,Brosina Hoffman,2020-01-29,CA-2014-115812,0,90032,TEC-PH-10002033,Konftel 250 Conference phone - Charcoal black,West,12,Consumer,WEST,2024-01-26,Standard Class,California,Phones,,843.0672,0.2,68.3568,Yes,4,911.424,911.424
Office Supplies,Paper,Concord,United States,AA-10480,Andrew Allen,2020-01-29,CA-2017-114412,0,28027,OFF-PA-10002365,Xerox 1967,South,13,Consumer,SOUTH,2024-01-26,Standard Class,North Carolina,Paper,,10.1088,0.2,5.4432,Yes,3,15.552,15.552
Office Supplies,Binders,Seattle,United States,IM-15070,Irene Maddox,2020-01-29,CA-2016-161389,0,98103,OFF-BI-10003656,Fellowes PB200 Plastic Comb Binding Machine,West,14,Consumer,WEST,2024-01-26,Standard Class,Washington,Binders,,275.3838,0.2,132.5922,Yes,3,407.976,407.976
Office Supplies,Appliances,Fort Worth,United States,HP-14815,Harold Pawlan,2020-01-30,US-2015-118983,0,76106,OFF-AP-10002311,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",Central,15,Home Office,CENTRAL,2024-01-25,Standard Class,Texas,Appliances,,192.668,0.8,-123.858,No,5,68.81,68.81
Office Supplies,Binders,Fort Worth,United States,HP-14815,Harold Pawlan,2020-01-30,US-2015-118983,0,76106,OFF-BI-10000756,Storex DuraTech Recycled Plastic Frosted Binders,Central,16,Home Office,CENTRAL,2024-01-25,Standard Class,Texas,Binders,,6.36,0.8,-3.816,No,3,2.544,2.544
Office Supplies,Storage,Madison,United States,PK-19075,Pete Kriz,2020-02-01,CA-2014-105893,0,53711,OFF-ST-10004186,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",Central,17,Consumer,CENTRAL,2024-01-25,Standard Class,Wisconsin,Storage,,652.5624,0.0,13.3176,Yes,6,665.88,
Office Supplies,Storage,West Jordan,United States,AG-10270,Alejandro Grove,2020-02-01,CA-2014-167164,0,84084,OFF-ST-10000107,Fellowes Super Stor/Drawer,West,18,Consumer,WEST,2024-01-25,Second Class,Utah,Storage,,45.51,0.0,9.99,Yes,2,55.5,55.5
