Row_ID,Order_Date,Category,City,Country,Customer_ID,Customer_Name,Order_ID,Period,Postal_Code,Product_ID,Product Name,Region,Segment,Selection,Ship_Date,Ship_Mode,State,Sub_Category,Costs,Discount,Profit,Profitable?,Quantity,SCP,Sales
1,2020-01-26,Furniture,Henderson,United States,CG-12520,Claire Gute,CA-2016-152156,0,42420,FUR-BO-10001798,Bush Somerset Collection Bookcase,South,Consumer,SOUTH,2024-01-28,Second Class,Kentucky,Bookcases,220.046,0.0,41.914,Yes,2,261.96,261.96
2,2020-01-27,Furniture,Henderson,United States,CG-12520,Claire Gute,CA-2016-152156,0,42420,FUR-CH-10000454,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",South,Consumer,SOUTH,2024-01-28,Second Class,Kentucky,Chairs,512.358,0.0,219.582,Yes,3,731.94,731.94
3,2020-01-27,Office Supplies,Los Angeles,United States,DV-13045,Darrin Van Huff,CA-2016-138688,0,90036,OFF-LA-10000240,Self-Adhesive Address Labels for Typewriters by Universal,West,Corporate,WEST,2024-01-27,Second Class,California,Labels,7.749,0.0,6.871,Yes,2,14.62,14.62
4,2020-01-27,Furniture,Fort Lauderdale,United States,SO-20335,Sean O'Donnell,US-2015-108966,0,33311,FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,South,Consumer,SOUTH,2024-01-27,Standard Class,Florida,Tables,1340.608,0.45,-383.031,No,5,957.578,957.578
5,2020-01-28,Office Supplies,Fort Lauderdale,United States,SO-20335,Sean O'Donnell,US-2015-108966,0,33311,OFF-ST-10000760,Eldon Fold 'N Roll Cart System,South,Consumer,SOUTH,2024-01-27,Standard Class,Florida,Storage,19.852,0.2,2.516,Yes,2,22.368,22.368
6,2020-01-29,Furniture,Los Angeles,United States,BH-11710,Brosina Hoffman,CA-2014-115812,0,90032,FUR-FU-10001487,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",West,Consumer,WEST,2024-01-27,Standard Class,California,Furnishings,34.691,0.0,14.169,Yes,7,48.86,48.86
7,2020-01-29,Office Supplies,Los Angeles,United States,BH-11710,Brosina Hoffman,CA-2014-115812,0,90032,OFF-AR-10002833,Newell 322,West,Consumer,WEST,2024-01-27,Standard Class,California,Art,5.314,0.0,1.966,Yes,4,7.28,7.28
8,2020-01-29,Technology,Los Angeles,United States,BH-11710,Brosina Hoffman,CA-2014-115812,0,90032,TEC-PH-10002275,Mitel 5320 IP Phone VoIP phone,West,Consumer,WEST,2024-01-26,Standard Class,California,Phones,816.437,0.2,90.715,Yes,6,907.152,907.152
9,2020-01-29,Office Supplies,Los Angeles,United States,BH-11710,Brosina Hoffman,CA-2014-115812,0,90032,OFF-BI-10003910,DXL Angle-View Binders with Locking Rings by Samsill,West,Consumer,WEST,2024-01-26,Standard Class,California,Binders,12.722,0.2,5.782,Yes,3,18.504,18.504
10,2020-01-29,Office Supplies,Los Angeles,United States,BH-11710,Brosina Hoffman,CA-2014-115812,0,90032,OFF-AP-10002892,Belkin F5C206VTEL 6 Outlet Surge,West,Consumer,WEST,2024-01-26,Standard Class,California,Appliances,80.43,0.0,34.47,Yes,5,114.9,237.264
